author,download_url,volume,dl_label,dl_pwd,dl_update,novel_link,update,main,alt
及川辉新,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/隔壁的顶级偶像大人，对我的悖德料理欲罢不能 - 及川辉新 - 20241110.epub,2,b00g2qit5i,9r13,2025-06-15,https://www.wenku8.net/book/3794.htm,2025-06-15,隔壁的顶级偶像大人，对我的悖德料理欲罢不能,
三河ごーすと,https://raw.githubusercontent.com/ixinzhi/lightnovel-2023/master/义妹生活 - 三河ごーすと - 20230925.epub,13,b04e75i0j,gqwn,2025-06-15,https://www.wenku8.net/book/2883.htm,2025-06-15,义妹生活,
夜州,https://raw.githubusercontent.com/ixinzhi/lightnovel-2023/master/被召唤的贤者前往异世界～废弃库存道具才是最强～ - 夜州 - 20230913.epub,3,b04enc4oh,b95r,2025-06-14,https://www.wenku8.net/book/3050.htm,2025-06-14,被召唤的贤者前往异世界～废弃库存道具才是最强～,
野村美月,https://raw.githubusercontent.com/ixinzhi/lightnovel-2021/master/青梅竹马是妹妹，景山北斗的哀与爱 - 野村美月 - 20211119.epub,1,b00g3e89uh,f3kv,2025-06-14,https://www.wenku8.net/book/3064.htm,2025-06-14,青梅竹马是妹妹，景山北斗的哀与爱,
浅白深也,https://raw.githubusercontent.com/ixinzhi/lightnovel-2023/master/此谎柔情，彼若蝶梦 - 浅白深也 - 20230309.epub,2,b00g2glyri,c7kb,2025-06-14,https://www.wenku8.net/book/3405.htm,2025-06-14,此谎柔情，彼若蝶梦,
八目迷,https://raw.githubusercontent.com/ixinzhi/lightnovel-2021/master/在昨日的春天等待你 - 八目迷 - 20211019.epub,1,b00g3e8a0d,14mv,2025-06-14,https://www.wenku8.net/book/3051.htm,2025-06-14,在昨日的春天等待你,
,,1,b00g3e88lc,2w5u,2025-06-14,https://www.wenku8.net/book/3966.htm,2025-06-14,被认为隐藏了真正实力的精灵师，其实每次都全力以赴,
手岛史词,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/身为魔王的我娶了奴隶精灵为妻，该如何表白我的爱？ - 手岛史词 - 20240923.epub,18,b00g2mf74d,hn4o,2025-06-12,https://www.wenku8.net/book/2975.htm,2025-06-12,身为魔王的我娶了奴隶精灵为妻，该如何表白我的爱？,
西条阳,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/我当备胎女友也没关系(我，当备胎女友就可以。) - 西条阳 - 20241120.epub,7,b04egn8zg,b7ib,2025-06-11,https://www.wenku8.net/book/3068.htm,2025-06-11,我当备胎女友也没关系,我，当备胎女友就可以。
来栖夏芽,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/非人学生与厌世教师(非人教室的厌人教师) - 来栖夏芽 - 20240424.epub,4,b04eb8yre,6o9j,2025-06-11,https://www.wenku8.net/book/3452.htm,2025-06-11,非人学生与厌世教师,非人教室的厌人教师
,,2,b00g3dzlid,cxd9,2025-06-11,https://www.wenku8.net/book/3964.htm,2025-06-11,双星·飓风·离乡人,
樱目禅斗,https://raw.githubusercontent.com/ixinzhi/lightnovel-2021/master/无法放弃你的前未婚妻就不行吗？ - 樱目禅斗 - 20211019.epub,2,b00g3dubpa,a3q1,2025-06-09,https://www.wenku8.net/book/3052.htm,2025-06-09,无法放弃你的前未婚妻就不行吗？,
